CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
07550983000189;LUCIANO BEZERRA QUIRINO ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;22/12/2004;29/06/2018;Médio;JABOATAO DOS GUARARAPES;PERNAMBUCO;-8,112778;-35,014722;Ativa;21/03/2026 20:27
07550983000189;LUCIANO BEZERRA QUIRINO ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;JABOATAO DOS GUARARAPES;PERNAMBUCO;-8,112778;-35,014722;Ativa;21/03/2026 20:27
07551057000128;M DA C ABREU PEREIRA CONSTRUÇÃO ME;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;19/08/2005;23/10/2006;...;OROBO;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07551057000128;M DA C ABREU PEREIRA CONSTRUÇÃO ME;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;01/09/2006;29/06/2018;...;OROBO;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07553393000100;SUPER MENDES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;22/02/2021;;Alto;DORMENTES;PERNAMBUCO;-8,443806;-40,767528;Ativa;21/03/2026 20:27
07553393000290;VERINALDO MENDES DE MACEDO EPP;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/06/2014;03/10/2017;Alto;DORMENTES;PERNAMBUCO;-8,44425;-40,766667;Encerrado;21/03/2026 20:27
07553442000104;RESTAURANTE JARDINS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;27/08/2014;16/02/2018;...;RECIFE;PERNAMBUCO;-8,120406;-34,898428;Encerrado;21/03/2026 20:27
07553578000114;C ALBUQUERQUE COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/05/2006;;Alto;RECIFE;PERNAMBUCO;-8,062389;-34,913278;Ativa;21/03/2026 20:27
07553578000114;C ALBUQUERQUE COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;8;Comércio de produtos químicos e produtos perigosos - Decreto nº 97.634/1989;01/05/2006;01/08/2017;Alto;RECIFE;PERNAMBUCO;-8,062389;-34,913278;Ativa;21/03/2026 20:27
07553578000114;C ALBUQUERQUE COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;10;Comércio de produtos químicos e produtos perigosos - Protocolo de Montreal;01/05/2006;01/08/2017;Alto;RECIFE;PERNAMBUCO;-8,062389;-34,913278;Ativa;21/03/2026 20:27
07553578000114;C ALBUQUERQUE COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/05/2006;01/08/2017;Alto;RECIFE;PERNAMBUCO;-8,062389;-34,913278;Ativa;21/03/2026 20:27
07553606000101;P K PEÇAS E SERVIÇOS LTDA  ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;15/07/2009;18/06/2019;...;OLINDA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07553868000168;LAVANDERIA SANTA CLARA LTDA;11;Indústria Têxtil, de Vestuário, Calçados e Artefatos de Tecidos;1;Beneficiamento de fibras têxteis, vegetais, de origem animal e sintéticos;25/08/2005;;Médio;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07553868000168;LAVANDERIA SANTA CLARA LTDA;11;Indústria Têxtil, de Vestuário, Calçados e Artefatos de Tecidos;3;Tingimento, estamparia e outros acabamentos em peças do vestuário e artigos diversos de tecidos;28/08/2005;;Médio;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07553868000168;LAVANDERIA SANTA CLARA LTDA;17;Serviços de Utilidade;4;Destinação de resíduos de esgotos sanitários e de resíduos sólidos urbanos, inclusive aqueles provenientes de fossas;28/08/2005;;Médio;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07553868000168;LAVANDERIA SANTA CLARA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07554950000107;JOSE VALDECI DE LIRA;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;23/03/2007;29/06/2018;Médio;CARUARU;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07554950000107;JOSE VALDECI DE LIRA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;CARUARU;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07555815000186;M F VIDAL - LATICÍNIO - ME;16;Indústria de Produtos Alimentares e Bebidas;5;Beneficiamento e industrialização de leite e derivados;02/01/2009;;Médio;ARCOVERDE;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07556825000136;ALVARO BALBINO EVANGELISTA DE SIQUEIRA ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);23/08/2005;28/06/2010;Médio;AFOGADOS DA INGAZEIRA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07556825000136;ALVARO BALBINO EVANGELISTA DE SIQUEIRA ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;23/08/2005;28/06/2010;Médio;AFOGADOS DA INGAZEIRA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
